UNIT,MtCH4,MtN
YEAR,CH4,N2O
1765,262.8469,11.1
1766,262.2474,11.1
1767,262.9983,11.1
1768,262.8107,11.1
1769,262.5772,11.1
1770,262.2836,11.1
1771,261.9807,11.1
1772,261.7022,11.1
1773,261.4171,11.1
1774,261.1036,11.1
1775,260.7635,11.1
1776,260.4021,11.1
1777,260.0327,11.1
1778,259.6677,11.1
1779,259.3058,11.1
1780,258.9219,11.1
1781,258.4967,11.1
1782,258.0429,11.1
1783,257.5655,11.1
1784,257.0361,11.1
1785,256.4916,11.1
1786,256.0434,11.1
1787,255.7138,11.1
1788,255.4449,11.1
1789,255.1975,11.1
1790,254.8941,11.1
1791,254.5043,11.1
1792,254.151,11.1
1793,253.8922,11.1
1794,253.6677,11.1
1795,253.4273,11.1
1796,253.152,11.1
1797,252.8625,11.1
1798,252.5785,11.1
1799,252.2958,11.1
1800,252.0225,11.1
1801,251.7937,11.1
1802,251.6081,11.1
1803,251.4141,11.1
1804,251.1886,11.1
1805,250.9406,11.1
1806,250.6696,11.1
1807,250.3681,11.1
1808,250.0353,11.1
1809,249.3519,11.1
1810,247.9682,11.1
1811,246.5402,11.1
1812,245.8763,11.1
1813,245.7257,11.1
1814,245.6573,11.1
1815,245.1745,11.1
1816,243.7389,11.1
1817,242.1853,11.1
1818,241.6434,11.1
1819,241.8704,11.1
1820,242.2527,11.1
1821,242.5424,11.1
1822,242.68,11.1
1823,242.6933,11.1
1824,242.608,11.1
1825,242.4462,11.1
1826,242.2266,11.1
1827,241.9627,11.1
1828,241.663,11.1
1829,241.3271,11.1
1830,240.9303,11.1
1831,240.3426,11.1
1832,239.4843,11.1
1833,238.6185,11.1
1834,238.0221,11.1
1835,237.3403,11.1
1836,236.287,11.1
1837,235.4094,11.1
1838,235.0301,11.1
1839,234.8853,11.1
1840,234.7594,11.1
1841,234.5711,11.1
1842,234.3169,11.1
1843,233.994,11.1
1844,233.5763,11.1
1845,233.0855,11.1
1846,232.5606,11.1
1847,231.9961,11.1
1848,231.375,11.1
1849,230.6865,11.1
1850,229.8843,11.1
1851,230.3703,11.1
1852,230.9979,11.1
1853,231.0057,11.1
1854,231.0051,11.1
1855,230.255,11.1
1856,230.0782,11.1
1857,230.3445,11.1
1858,229.8572,11.1
1859,229.7133,11.1
1860,229.8485,11.1
1861,231.0949,11.1
1862,232.2737,11.1
1863,233.3523,11.1
1864,234.426,11.1
1865,236.2831,11.1
1866,237.475,11.1
1867,237.9112,11.1
1868,239.0077,11.1
1869,240.1092,11.1
1870,241.9622,11.1
1871,239.7582,11.1
1872,236.7948,11.1
1873,234.4567,11.1
1874,232.0764,11.1
1875,230.4295,11.1
1876,228.1003,11.1
1877,225.0064,11.1
1878,222.6008,11.1
1879,220.2339,11.1
1880,218.6322,11.1
1881,217.0044,11.1
1882,214.7156,11.1
1883,212.3493,11.1
1884,208.58,11.1
1885,204.3407,11.1
1886,202.1747,11.1
1887,200.5238,11.1
1888,198.2839,11.1
1889,196.098,11.1
1890,193.8292,11.1
1891,193.7667,11.1
1892,193.8377,11.1
1893,192.6279,11.1
1894,191.4334,11.1
1895,191.6784,11.1
1896,191.9042,11.1
1897,190.5368,11.1
1898,189.7539,11.1
1899,189.7892,11.1
1900,189.9629,11.08
1901,191.9455,11.06
1902,193.3459,11.04
1903,193.7756,11.02
1904,194.0415,11
1905,193.9861,10.98
1906,194.2456,10.96
1907,194.5484,10.94
1908,195.5261,10.92
1909,196.5493,10.9
1910,196.1831,10.88
1911,195.6302,10.86
1912,196.4594,10.84
1913,197.8744,10.82
1914,198.6233,10.8
1915,198.9333,10.78
1916,199.3568,10.76
1917,199.8018,10.74
1918,200.9701,10.72
1919,202.1684,10.7
1920,201.9017,10.68
1921,201.6234,10.66
1922,202.7335,10.64
1923,203.9844,10.62
1924,204.5656,10.6
1925,205.1345,10.58
1926,205.7212,10.56
1927,206.3303,10.54
1928,206.9354,10.52
1929,206.7392,10.5
1930,206.424,10.48
1931,206.7248,10.46
1932,207.0458,10.44
1933,207.3272,10.42
1934,206.88,10.4
1935,206.4218,10.38
1936,206.6763,10.36
1937,206.965,10.34
1938,207.2413,10.32
1939,207.4857,10.3
1940,208.4568,10.28
1941,209.0697,10.26
1942,208.2544,10.24
1943,207.3272,10.22
1944,207.7935,10.2
1945,208.3595,10.18
1946,209.0265,10.16
1947,210.5171,10.14
1948,211.3969,10.12
1949,212.3341,10.1
1950,214.0363,10.08
1951,212.2138,10.06
1952,211.2123,10.04
1953,210.3717,10.02
1954,208.2368,10
1955,206.1847,9.98
1956,205.0006,9.96
1957,204.0215,9.94
1958,202.4782,9.92
1959,200.9797,9.9
1960,200.2332,9.88
1961,201.5908,9.86
1962,202.9269,9.84
1963,203.557,9.82
1964,203.7462,9.8
1965,204.4767,9.78
1966,205.1804,9.76
1967,206.5085,9.74
1968,208.7901,9.72
1969,210.9207,9.7
1970,212.3617,9.68
1971,212.4268,9.66
1972,213.3871,9.64
1973,214.3686,9.62
1974,214.5199,9.6
1975,214.413,9.58
1976,214.1682,9.56
1977,214.8621,9.54
1978,215.8615,9.52
1979,216.1935,9.5
1980,219.4728,9.48
1981,225.1693,9.46
1982,228.0997,9.44
1983,228.9236,9.42
1984,224.0878,9.4
1985,214.4027,9.38
1986,209.3735,9.36
1987,207.3819,9.34
1988,204.6283,9.32
1989,203.0056,9.3
1990,202.0079,9.28
1991,209.127,9.26
1992,208.191,9.24
1993,202.2346,9.22
1994,207.824,9.2
1995,215.4512,9.18
1996,216.6639,9.16
1997,225.7452,9.14
1998,240.7317,9.12
1999,243.3985,9.1
2000,235.7929,9.1
2001,227.5635,9.1
2002,230.1948,9.1
2003,231.1173,9.1
2004,222.3452,9.1
2005,214.827,9.1
2006,216.7167,9.1
2007,219.7682,9.1
2008,219.6458,9.1
2009,219.4432,9.1
2010,218.4634,9.1
2011,229.769,9.1
2012,235.5683,9.1
2013,235.788,9.1
2014,236.0845,9.1
2015,236.4371,9.1
2016,236.7561,9.1
2017,237.001,9.1
2018,237.213,9.1
2019,237.4225,9.1
2020,237.6323,9.1
2021,231.859,9.1
2022,229.1615,9.1
2023,229.9575,9.1
2024,231.4998,9.1
2025,233.4458,9.1
2026,235.3149,9.1
2027,237.0399,9.1
2028,238.5995,9.1
2029,240.0467,9.1
2030,241.419,9.1
2031,241.6833,9.1
2032,242.0347,9.1
2033,242.5604,9.1
2034,243.1885,9.1
2035,243.8575,9.1
2036,244.53,9.1
2037,245.1958,9.1
2038,245.7853,9.1
2039,246.2699,9.1
2040,246.6924,9.1
2041,249.6016,9.1
2042,251.1631,9.1
2043,251.3086,9.1
2044,251.4925,9.1
2045,251.8723,9.1
2046,252.3766,9.1
2047,252.9578,9.1
2048,253.5987,9.1
2049,254.2235,9.1
2050,254.7991,9.1
2051,254.0728,9.1
2052,254.0946,9.1
2053,254.8424,9.1
2054,255.4639,9.1
2055,256.0454,9.1
2056,256.7443,9.1
2057,257.499,9.1
2058,258.2735,9.1
2059,259.0562,9.1
2060,259.7837,9.1
2061,258.6587,9.1
2062,258.3975,9.1
2063,259.0063,9.1
2064,259.5585,9.1
2065,259.9701,9.1
2066,260.3243,9.1
2067,260.7721,9.1
2068,261.2574,9.1
2069,261.7479,9.1
2070,262.236,9.1
